Observable,Value,ID,Time
Caspase 3 concentration,0.05024663892724892,1,1.0
Caspase 3 concentration,0.16029445227846328,2,3.5
Caspase 3 concentration,0.3815582475545597,3,7.0
Caspase 3 concentration,0.00041724156256293265,4,10.5
Caspase 3 concentration,1.533548472296046e-05,5,14.0
Caspase 3 concentration,0.05265279438624626,6,1.0
Caspase 3 concentration,0.12090333717135517,7,3.5
Caspase 3 concentration,0.006990259069280211,8,7.0
Caspase 3 concentration,0.7116849172705294,9,10.5
Caspase 3 concentration,0.6592664183136837,10,14.0
Caspase 3 concentration,0.04715216847240216,11,1.0
Caspase 3 concentration,0.10221055564045158,12,3.5
Caspase 3 concentration,0.059977428941622085,13,7.0
Caspase 3 concentration,0.6942222241780269,14,10.5
Caspase 3 concentration,0.8063454030967518,15,14.0
Caspase 3 concentration,0.05117497217063008,16,1.0
Caspase 3 concentration,0.07084047398832126,17,3.5
Caspase 3 concentration,0.05350246374426103,18,7.0
Caspase 3 concentration,0.589327642873373,19,10.5
Caspase 3 concentration,0.7082016364453866,20,14.0
Caspase 3 concentration,0.05766086932097636,21,1.0
Caspase 3 concentration,0.14474724945639975,22,3.5
Caspase 3 concentration,0.31621772371579887,23,7.0
Caspase 3 concentration,0.6303703757650962,24,10.5
Caspase 3 concentration,0.7965722799014341,25,14.0
Caspase 3 concentration,0.05079496153620793,26,1.0
Caspase 3 concentration,0.12173026119854406,27,3.5
Caspase 3 concentration,0.4169186994115001,28,7.0
Caspase 3 concentration,0.6972890590026695,29,10.5
Caspase 3 concentration,0.0003388852907543387,30,14.0
Caspase 3 concentration,0.04527840949789347,31,1.0
Caspase 3 concentration,0.13770012948183308,32,3.5
Caspase 3 concentration,0.3996330080962117,33,7.0
Caspase 3 concentration,0.6947464625373371,34,10.5
Caspase 3 concentration,0.8065805299395572,35,14.0
Caspase 3 concentration,0.058994753315122675,36,1.0
Caspase 3 concentration,0.12132969452688133,37,3.5
Caspase 3 concentration,0.5539012539621264,38,7.0
Caspase 3 concentration,0.0006191195385470291,39,10.5
Caspase 3 concentration,0.7525547923085677,40,14.0
Caspase 3 concentration,0.06143685753328303,41,1.0
Caspase 3 concentration,0.1248535673297415,42,3.5
Caspase 3 concentration,0.324329948126032,43,7.0
Caspase 3 concentration,0.007459852788372754,44,10.5
Caspase 3 concentration,0.7118091946365209,45,14.0
Caspase 3 concentration,0.049658593688608664,46,1.0
Caspase 3 concentration,0.10927435658001766,47,3.5
Caspase 3 concentration,0.332034441225148,48,7.0
Caspase 3 concentration,0.6394875825017071,49,10.5
Caspase 3 concentration,0.6953581497244549,50,14.0
Caspase 3 concentration,0.05683263487072676,51,1.0
Caspase 3 concentration,0.10803650995324506,52,3.5
Caspase 3 concentration,0.2648393630137049,53,7.0
Caspase 3 concentration,0.5917149969227994,54,10.5
Caspase 3 concentration,4.0279363107322725e-06,55,14.0
Caspase 3 concentration,0.051697862710355875,56,1.0
Caspase 3 concentration,0.10176227827833056,57,3.5
Caspase 3 concentration,0.3070705680890563,58,7.0
Caspase 3 concentration,0.6181042545156776,59,10.5
Caspase 3 concentration,0.7589418953471908,60,14.0
Caspase 3 concentration,0.05378846936828612,61,1.0
Caspase 3 concentration,0.11273734214492195,62,3.5
Caspase 3 concentration,0.393697773936633,63,7.0
Caspase 3 concentration,0.7214658093947197,64,10.5
Caspase 3 concentration,0.783997236639603,65,14.0
Caspase 3 concentration,0.05076833042064186,66,1.0
Caspase 3 concentration,0.13299787994385662,67,3.5
Caspase 3 concentration,0.4321498506047525,68,7.0
Caspase 3 concentration,7.318381061431517e-05,69,10.5
Caspase 3 concentration,0.7683889046672501,70,14.0
Caspase 3 concentration,0.05034102687207923,71,1.0
Caspase 3 concentration,0.16859402127820158,72,3.5
Caspase 3 concentration,0.35604832886748694,73,7.0
Caspase 3 concentration,0.6107553837192629,74,10.5
Caspase 3 concentration,0.7754586619658125,75,14.0
Caspase 3 concentration,0.050921199353375024,76,1.0
Caspase 3 concentration,0.05162958442831503,77,3.5
Caspase 3 concentration,0.3816970845764524,78,7.0
Caspase 3 concentration,0.6400770886698081,79,10.5
Caspase 3 concentration,1.5024746994462498e-06,80,14.0
Caspase 3 concentration,0.050785308129566116,81,1.0
Caspase 3 concentration,0.11263948373300744,82,3.5
Caspase 3 concentration,0.020898298499923005,83,7.0
Caspase 3 concentration,0.6051454544998063,84,10.5
Caspase 3 concentration,4.683766948220366e-06,85,14.0
Caspase 3 concentration,0.05459776983021885,86,1.0
Caspase 3 concentration,0.09306426631795718,87,3.5
Caspase 3 concentration,0.26431550968075407,88,7.0
Caspase 3 concentration,0.714412640568985,89,10.5
Caspase 3 concentration,1.1335945314527297e-05,90,14.0
Caspase 3 concentration,0.044325542391001366,91,1.0
Caspase 3 concentration,0.08972380589093756,92,3.5
Caspase 3 concentration,0.02271583183198393,93,7.0
Caspase 3 concentration,0.7339771027324757,94,10.5
Caspase 3 concentration,0.7487903204168568,95,14.0
Caspase 3 concentration,0.048625267004114237,96,1.0
Caspase 3 concentration,0.125172938841939,97,3.5
Caspase 3 concentration,0.12286953734617559,98,7.0
Caspase 3 concentration,0.7023081060674324,99,10.5
Caspase 3 concentration,0.7375243836500309,100,14.0
Caspase 3 concentration,0.055416494602785006,101,1.0
Caspase 3 concentration,0.028869231751993577,102,3.5
Caspase 3 concentration,0.3975627175853049,103,7.0
Caspase 3 concentration,0.3849583676609289,104,10.5
Caspase 3 concentration,3.0414168841423783e-05,105,14.0
Caspase 3 concentration,0.051225041572170456,106,1.0
Caspase 3 concentration,0.12812783690628687,107,3.5
Caspase 3 concentration,0.025143532824773666,108,7.0
Caspase 3 concentration,0.6615233227095089,109,10.5
Caspase 3 concentration,0.7082205941838743,110,14.0
Caspase 3 concentration,0.06030927685641308,111,1.0
Caspase 3 concentration,0.061200264825059796,112,3.5
Caspase 3 concentration,0.07427974100607551,113,7.0
Caspase 3 concentration,0.617264382174578,114,10.5
Caspase 3 concentration,0.6996830548751882,115,14.0
Caspase 3 concentration,0.05341986140827286,116,1.0
Caspase 3 concentration,0.14645078943264295,117,3.5
Caspase 3 concentration,0.19094724570835642,118,7.0
Caspase 3 concentration,0.6071852584269277,119,10.5
Caspase 3 concentration,0.7654179436267857,120,14.0
Caspase 3 concentration,0.0486991596753088,121,1.0
Caspase 3 concentration,0.11982131788210697,122,3.5
Caspase 3 concentration,0.011940872819446117,123,7.0
Caspase 3 concentration,0.6082859826911282,124,10.5
Caspase 3 concentration,0.7414652532917319,125,14.0
Caspase 3 concentration,0.05579585688519574,126,1.0
Caspase 3 concentration,0.09781364545650421,127,3.5
Caspase 3 concentration,0.3938598119957775,128,7.0
Caspase 3 concentration,0.5619474531887682,129,10.5
